[1]		[2]		[3]		[4]		[5]		
binary	２進法の 	column	列	acceleration	加速度	wave	波	aluminum	アルミニウム	
binary system	２進法	row	行	action	作用	chaos	カオス	arsenic	砒素	
decimal	10進法の	condition	条件	echo	反響波	deformation	変形	carbon	炭素	
decimal system	10進法	constant	定数	energy	エネルギー	elementary particle	素粒子	copper	銅	
parabola	放物線	proportional	比例の	field	場	fluid	流体	helium	ヘリウム	
fraction	分数	ratio	比	frequency	周波数	intensity	（電流・光など）強度	hydrogen	水素	
addition	足し算	absolute value	絶対値	friction	摩擦	lens	レンズ	iron	鉄	
division	割り算	algorithm	アルゴリズム	heat	熱	neutron	中性子	lead	鉛	
multiplication	掛け算	approximately	約	inertia	慣性	particle	粒子	magnesium	マグネシウム	
subtraction	引き算	coefficient	係数	kinetic energy	運動エネルギー	photon	光子	mercury	水銀	
even number	偶数	variable	変数	mass	質量	precession	歳差運動	molecular weight	分子量	
odd number	奇数	equation	方程式	motion	運動	prism	プリズム	nickel	ニッケル	
area	面積	formula	公式	pendulum	振り子	proton	陽子	nitrogen	窒素	
circle	円	function	関数	reflection	反射	radiation	輻射	silicon	ケイ素	
cross-sectional area	断面積	proof	証明	sound	音	ray	光線	sodium	ナトリウム	
diameter	直径	random	無作為の	sound wave	音波	steam	蒸気	tin	錫（すず）	
radius	半径	round	四捨五入する	specific gravity	比重	supersonic	超音速の	zinc	亜鉛	
sphere	球	slope	傾斜	substance	物質	visible ray	可視光線	atomic number	原子番号	
volume	体積	vector	ベクトル	ultrasonic wave	超音波	wavelength	波長	element	元素	
graph	図表	coordinates	座標	vibration	振動	light	光	molecule	分子	

[6]		[7]		[8]		[9]		[10]		
acid	酸	rust	さび	ampere	アンペア	charge	充電	ammeter	電流計	
alkali	アルカリ	acrylic resin	アクリル樹脂	parallel	並列	discharge	放電	voltmeter	電圧計	
amino acid	アミノ酸	ceramics	セラミックス	series	直列	fuel cell	燃料電池	power switch	電源スイッチ	
amorphous substance	アモルファス物質	chitosan	キトサン	volt	ボルト	fuse	ヒューズ	antenna	アンテナ	
ash	灰	methane	メタン	watt	ワット	insulate	絶縁する	coil	コイル	
atomic weight	原子量	polyester	ポリエステル	amplification	増幅	insulator	絶縁物	electric field	電界	
boiling point	沸点	polyethylene	ポリエチレン	amplify	増幅する	load	負荷	electromagnetic wave	電磁波	
combustion	燃焼	stainless steel	ステンレス鋼	battery	電池	power cord	電源コード	gain	利得	
compound	化合物	sulfur	硫黄	circuit	回路	power failure	停電	impedance	インピーダンス	
corrosion	腐食	trichloroethylene	トリクロロエチレン	earth	接地	power line	電気系統	magnet	磁石	
crystal	結晶	alcohol	アルコール	electric wire	電線	short circuit	短絡回路	magnetic field	磁場	
dissolve	溶かす	carbon dioxide	二酸化炭素	electricity	電気	transformer	変圧器	microwave	マイクロ波	
evaporation	蒸発	chemical energy	化学的エネルギー	electrode	電極	generator	発電機	noise	ノイズ	
foam	泡	dryness	乾燥	electron	電子	conduction	伝導	nuclear power generation	原子力発電	
gas molecule	気体分子	epoxy resin	エポキシ樹脂	light bulb	電球	conductor	導体	outlet	出口	
gel	ゲル	ignition	点火	alternating current	交流	diode	ダイオード	probe	探針	
ion	イオン	moisture	湿気	direct current	直流	semiconductor	半導体	resonance	共振	
nonmetal	非金属	nitrogen oxide	窒素酸化物	electric current	電流	transistor	トランジスタ	spark	火花	
oxidation	酸化	solvent	溶剤	resistance	抵抗	device	素子	switchboard	配電盤	
oxygen	酸素	soot	すす	voltage	電圧	superconductivity	超電導	wireless	無線の	

[11]		[12]		[13]		[14]		[15]		
air conditioner	空調設備	stator	固定子	central processing unit	中央処理装置	server	サーバ	access	呼び出し	
belt conveyor	ベルトコンベヤー	rotor	回転子	integrated circuit	集積回路	Telnet	テルネット	bulletin board	掲示板	
combustion chamber	燃焼室	joint	継手	large scale integration	大規模集積	transfer	転送する	screen	画面	
control	制御	motor	モータ	microprocessing unit	超小型演算装置	upward-compatible	上位互換の	population	母集団	
gear	歯車	crank	クランク	byte	バイト	computer virus	コンピュータウイルス	statistics	統計	
lift	昇降機	press	圧縮機	backup	予備	electronic commerce	電子商取引	array	配列	
machine	機械	refrigerator	冷蔵庫	architecture	アーキテクチャ	archive	アーカイブ	dialog	対話	
machinery	（集合的に）機械類	robot	ロボット	digital versatile disk	デジタル多用途ディスク	documentation	文書化	entropy	エントロピー	
steam engine	蒸気機関	solar power generation	太陽熱発電	flash memory	フラッシュメモリ	local area network	ローカルエリアネットワーク	assembler	アセンブラ	
stroke	行程	windmill	風車	floppy disk	フロッピーディスク	network	回路網	format	書式	
turbine	タービン	alloy	合金	memory	メモリ	terminal	端末	telecommunication	電気通信	
water-cooled engine	水冷機関	brass	真鍮（しんちゅう）	random-access memory	ランダムアクセス記憶装置	computer aided design	コンピュータ支援設計	frequency modulation	周波数変調（ＦＭ）	
winch	巻き上げ機	metal fatigue	金属疲労	read-only memory	読み取り専用記憶装置	language	言語	routine	ルーチン	
computer-controlled	コンピュータ制御の	mild steel	軟鋼	start-up disk	起動ディスク	program	プログラム	intercom	相互通信機	
elevator	エレベータ	shape memory alloy	形状記憶合金	storage	記憶装置	instruction	命令	leased line	専用回線	
escalator	エスカレータ	steel	鋼	store	記憶する	computer graphics	コンピュータグラフィックス	optical fiber cable	光ファイバーケーブル	
assembly	組み立て	starter	起動装置	keyboard	キーボード	portable	携帯用の	Internet	インターネット	
torque	トルク	laser	レーザー	scanner	スキャナ	save	蓄える	Intranet	イントラネット	
bearing	ベアリング	laser beam	レーザー光線	personal computer	パソコン	scroll	画面移動	floating point	浮動小数点	
blade	羽根	lever	てこ	monitor	モニタ	cache memory	キャッシュメモリ	radio signals	無線信号	

[16]		[17]		[18]		[19]		[20]		
acid rain	酸性雨	air	空気	cell	細胞	artery	動脈	earthquake	地震	
air pollution	大気汚染	atmosphere	大気	cell division	細胞分裂	brain	脳	hypocenter	震源	
desert	砂漠	atmospheric pressure	大気圧	cell membrane	細胞膜	human body	人体	seismic intensity	震度	
desertification	砂漠化	natural resources	天然資源	nucleus	細胞核	lung	肺	seismograph	地震計	
dioxin	ダイオキシン	resources	資源	chloroplast	葉緑体	nerve	神経	galaxy	銀河	
environment	環境	reuse	再利用	photosynthesis	光合成	organ	器官	planet	惑星	
environmental problem	環境問題	forest	森林	root	根	pain	苦痛	solar system	太陽系	
fossil fuel	化石燃料	ocean	大洋	bacteria	バクテリア	sense	感覚	space craft	宇宙船	
fume	煙霧	rain forest	雨林	creature	生物	skin	皮膚	universe	宇宙	
greenhouse gas	温室効果ガス（ＧＨＧ）	tropical forest	熱帯林	digestion	消化	vein	静脈	weather satellite	気象衛星	
harm	害	detergent	洗剤	enzyme	酵素	AIDS	後天性免疫不全症候群	equator	赤道	
industrial waste	産業廃棄物	energy source	エネルギー源	germ	細菌	cancer	癌	latitude	緯度	
ozone	オゾン	flood	洪水	insect	昆虫	disease	疾患	longitude	経度	
